customer_id,customer_name,customer_email,customer_age,customer_gender
CUST00001,Jessica Moore,user1@example.com,37,Female
CUST00002,John Schroeder,user2@example.com,48,Male
CUST00003,Shannon Green,user3@example.com,65,Female
CUST00004,David Brown,user4@example.com,54,Male
CUST00005,Jeremy Graham,user5@example.com,23,Male
CUST00006,Kenneth Weber,user6@example.com,38,Male
CUST00007,Samuel Daniels,user7@example.com,43,Male
CUST00008,Joshua Morgan,user8@example.com,57,Male
CUST00009,Javier Walton,user9@example.com,61,Male
CUST00010,Victor Johnson,user10@example.com,34,Male
CUST00011,Douglas Bradford,user11@example.com,22,Male
CUST00012,Edward Guzman,user12@example.com,30,Male
CUST00013,Theresa Barajas,user13@example.com,19,Female
CUST00014,Michael Bailey,user14@example.com,54,Male
CUST00015,Benjamin Paul,user15@example.com,58,Male
CUST00016,Annette Patel,user16@example.com,20,Female
CUST00017,Brent Day,user17@example.com,36,Male
CUST00018,Regina Williams,user18@example.com,49,Female
CUST00019,Nicholas Daniels,user19@example.com,65,Male
CUST00020,Sara Snyder,user20@example.com,59,Female
CUST00021,Marc Wagner,user21@example.com,43,Male
CUST00022,Jose Valdez,user22@example.com,53,Male
CUST00023,Robert Robertson,user23@example.com,58,Male
CUST00024,Jennifer King,user24@example.com,31,Female
CUST00025,Andrew Bennett,user25@example.com,50,Male
CUST00026,Jennifer Sims,user26@example.com,27,Female
CUST00027,Michael Forbes,user27@example.com,62,Male
CUST00028,Jennifer Mcguire,user28@example.com,56,Female
CUST00029,Melissa Rivera,user29@example.com,49,Female
CUST00030,Lisa Wolf,user30@example.com,43,Female
CUST00031,Tina Brown,user31@example.com,33,Female
CUST00032,Joanna Henson,user32@example.com,31,Female
CUST00033,Tina Dickerson,user33@example.com,48,Female
CUST00034,Christopher Potter,user34@example.com,50,Male
CUST00035,Tracy Thomas,user35@example.com,47,Female
CUST00036,John Keller,user36@example.com,46,Male
CUST00037,Jonathan Adams,user37@example.com,31,Male
CUST00038,Alexis Williams Jr.,user38@example.com,33,Male
CUST00039,Mark Spence,user39@example.com,21,Male
CUST00040,Manuel Graham,user40@example.com,29,Male
CUST00041,Ryan Myers,user41@example.com,19,Male
CUST00042,Gregory Henderson,user42@example.com,50,Male
CUST00043,Jennifer Baker,user43@example.com,32,Female
CUST00044,Ricky Pearson,user44@example.com,30,Male
CUST00045,Bonnie Durham,user45@example.com,55,Female
CUST00046,Kayla Wilson,user46@example.com,54,Female
CUST00047,Kristina Benson,user47@example.com,61,Female
CUST00048,Douglas Dean,user48@example.com,47,Male
CUST00049,Shane Good,user49@example.com,28,Male
CUST00050,William Garza,user50@example.com,42,Male
CUST00051,Paul Spears,user51@example.com,30,Male
CUST00052,Brandy Morales,user52@example.com,45,Female
CUST00053,Mr. Matthew Wade MD,user53@example.com,59,Male
CUST00054,Joshua Foster,user54@example.com,31,Male
CUST00055,Chad Schwartz,user55@example.com,32,Male
CUST00056,Lindsay Stevens,user56@example.com,61,Female
CUST00057,Mark Ray,user57@example.com,63,Male
CUST00058,Scott Hudson,user58@example.com,37,Male
CUST00059,Melinda Fowler,user59@example.com,44,Female
CUST00060,Steven Jackson,user60@example.com,38,Male
CUST00061,Caleb James,user61@example.com,61,Male
CUST00062,Mary Bowman,user62@example.com,65,Female
